gene,log2FC,p_value,ranking_metric
HMGB3,0.4539,0.0006316114184547994,3.1995500272909028
KNSTRN,0.356,0.0006390864663732998,3.1944403791994165
ANXA9,0.925,0.0006504534594155598,3.1867837721878605
NUP107,0.2694,0.0007143188526896375,3.146107887589259
PPOX,0.2981,0.0007143188526896375,3.146107887589259
CENPF,0.5098,0.0007184978063784402,3.1435745534576514
AURKA,0.41,0.0007354417921737446,3.1334516945722206
CCNE2,0.5573,0.0007440522750008289,3.1283965510846756
PSMC3IP,0.3216,0.0007571436907084961,3.12082169228341
PPM1H,0.6349,0.0007571436907084961,3.12082169228341
TOP2A,0.4658,0.0007571436907084961,3.12082169228341
ILF2,0.2721,0.0007704487233871379,3.1132562601137037
CXCL10,1.1099,0.0007704487233871379,3.1132562601137037
STMN1,0.5022,0.0007704487233871379,3.1132562601137037
RAB5A,0.1975,0.0007749317520075344,3.1107365439861687
PIGM,0.2797,0.0007977123747527974,3.0981536707729282
KIF18A,0.4253,0.0007977123747527974,3.0981536707729282
FAM221A,0.3721,0.0008023424359991695,3.095640237296583
NDUFS2,0.261,0.000806997425503235,3.093127850769283
KNOP1,0.2269,0.0008258691181252098,3.0830887732362804
PODXL2,0.6723,0.0008402906752691535,3.075570455808931
UBE2T,0.4558,0.0008402906752691535,3.075570455808931
KIF14,0.4684,0.0008748541506424601,3.0580643433786006
BRIP1,0.418,0.0008900667580133436,3.050577418580348
TMEM106C,0.3418,0.0008951918728375021,3.0480838692833796
RFC2,0.2538,0.0009107318026423511,3.0406094976495566
RPA1,0.2247,0.0009107318026423511,3.0406094976495566
WHSC1,0.2789,0.0009159670848390113,3.038120132368861
FAM50A,0.2761,0.0009159670848390113,3.038120132368861
PARP2,0.1799,0.0009212302431619087,3.0356318129757898
FANCD2,0.331,0.000947968916654738,3.0232059026900364
GGCT,0.3553,0.0009534021838008065,3.020723857641247
SNORA22,0.3119,0.0009643553536485559,3.0157629041768943
CENPJ,0.2777,0.001009343742223268,2.9959609051926654
MKI67,0.4389,0.001009343742223268,2.9959609051926654
CDK1,0.4668,0.001009343742223268,2.9959609051926654
ATF6,0.2259,0.0010208904535986294,2.9910208572765273
TDRKH,0.444,0.0010325593191119304,2.9860849893345405
UHMK1,0.2447,0.0010384399253007442,2.983618622735086
ENSA,0.2986,0.0010443515100072302,2.9811533009865605
H2AFV,0.2309,0.0010502942211739075,2.978689024041334
CCNF,0.357,0.0010622736177540047,2.9737636043700415
NCAPD2,0.2868,0.0010683106021548991,2.971302461548496
FANCA,0.3713,0.0010804798953324888,2.9663833096945695
TFDP1,0.2532,0.0010804798953324888,2.9663833096945695
ANP32E,0.3735,0.001098974421357174,2.9590124156681474
NCAPG2,0.3408,0.0011052040308793688,2.956557539801966
TLCD1,0.401,0.0011114662806706865,2.954103708260345
DDX12P,0.3919,0.0011304504235346922,2.9467484791013994
LMNB1,0.3783,0.0011627580480545329,2.93451064582756
TUFT1,0.4463,0.001189216237707165,2.9247391695154716
TCHP,0.2434,0.001223071068355469,2.9125483069065727
SMC2,0.3391,0.0012299479559082728,2.910113264934624
CKAP2L,0.4451,0.0012507934570407417,2.9028143992379736
UBE2C,0.5009,0.001257814130671459,2.900383530582055
ITGAE,0.4018,0.001257814130671459,2.900383530582055
HADH,0.2641,0.001264871172860219,2.8979537051324544
FANCG,0.2457,0.001264871172860219,2.8979537051324544
