filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0060	50	2	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0061	50	1	10	7	3	10	3	1.4285714285714286	C2: CP: Pathway Interaction Database, C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0061	50	2	7	5	2	6	2	1.2	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0062	50	1	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0062	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0063	50	1	9	7	2	8	2	1.1428571428571428	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0063	50	2	8	6	2	7	2	1.1666666666666667	C2: CP: WikiPathways, C5: GO: Biological Process
permutation_0063	50	3	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0063	50	4	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0064	50	1	5	4	1	4	1	1.0	C2: CP: Reactome Pathways
permutation_0064	50	2	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0065	50	1	12	8	4	14	2	1.75	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0065	50	2	7	5	2	7	2	1.4	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0065	50	3	6	4	2	6	2	1.5	C2: CP: Reactome Pathways, C5: GO: Cellular Component
permutation_0065	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0066	50	1	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0066	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0067	50	1	12	8	4	16	4	2.0	C2: CP: Canonical pathways, C5: GO: Biological Process, C5: GO: Cellular Component, H: Hallmark Gene Sets
permutation_0067	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0068	50	1	8	6	2	7	2	1.1666666666666667	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0068	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0069	50	1	8	6	2	11	2	1.8333333333333333	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0069	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
